Chromosome Region	Start	End	loss
chr1	0	715604	8
chr1	715604	1253336	1
chr1	1253336	1712980	0
chr1	1712980	7272421	1
chr1	7272421	8066167	7
chr1	8066167	16222530	19
chr1	16222530	16870321	18
chr1	16870321	17082652	35
chr1	17082652	19791916	18
chr1	19791916	19823694	13
chr1	19823694	21596504	18
chr1	21596504	23675595	32
chr1	23675595	23885226	13
chr1	23885226	24755956	22
chr1	24755956	26132903	31
chr1	26132903	26253274	19
chr1	26253274	29162232	31
chr1	29162232	33364410	17
chr1	33364410	34125407	12
chr1	34125407	35051963	5
chr1	35051963	35087951	0
chr1	35087951	35109386	0
chr1	35109386	35133004	0
chr1	35133004	35412771	5
chr1	35412771	35627105	12
chr1	35627105	37197385	5
chr1	37197385	37324799	0
chr1	37324799	37932773	0
chr1	37932773	40342039	0
chr1	40342039	40552080	0
chr1	40552080	42563757	0
chr1	42563757	44146114	0
chr1	44146114	44418939	0
chr1	44418939	47498281	0
chr1	47498281	47683535	0
chr1	47683535	48060099	0
chr1	48060099	49086652	0
chr1	49086652	49191814	0
chr1	49191814	51567717	0
chr1	51567717	52958901	0
chr1	52958901	55772823	0
chr1	55772823	59105706	0
chr1	59105706	63963387	0
chr1	63963387	65408346	0
chr1	65408346	67744550	0
chr1	67744550	72748221	0
chr1	72748221	72753227	0
chr1	72753227	72759523	0
chr1	72759523	72768926	0
chr1	72768926	72811532	5
chr1	72811532	72892440	0
chr1	72892440	75387692	0
chr1	75387692	77593002	0
chr1	77593002	79271118	0
chr1	79271118	79600809	0
chr1	79600809	79734707	0
chr1	79734707	79871446	0
chr1	79871446	80559482	0
chr1	80559482	85227871	1
chr1	85227871	85368692	9
chr1	85368692	86636982	1
chr1	86636982	97550136	0
chr1	97550136	98522711	0
chr1	98522711	98806329	0
chr1	98806329	99683944	0
chr1	99683944	100084871	0
chr1	100084871	111620285	0
chr1	111620285	112693006	1
chr1	112693006	112706196	0
chr1	112706196	113135027	1
chr1	113135027	117321742	6
chr1	117321742	117520161	0
chr1	117520161	117686645	0
chr1	117686645	117810519	0
chr1	117810519	120468751	0
chr1	120468751	120621451	0
chr1	120621451	120685338	0
chr1	120685338	121185034	0
chr1	121185034	121230790	0
chr1	121230790	121291080	0
chr1	121291080	125000000	0
chr1	125000000	143458436	0
chr1	143458436	144915935	0
chr1	144915935	145007448	0
chr1	145007448	150662184	0
chr1	150662184	150811010	0
chr1	150811010	151529156	0
chr1	151529156	152510839	0
chr1	152510839	152588544	0
chr1	152588544	154522918	0
chr1	154522918	154723755	0
chr1	154723755	155056665	0
chr1	155056665	155194365	0
chr1	155194365	155247949	0
chr1	155247949	160278300	0
chr1	160278300	169242084	0
chr1	169242084	170086918	0
chr1	170086918	180514472	0
chr1	180514472	182443276	0
chr1	182443276	189157358	0
chr1	189157358	196698279	0
chr1	196698279	196710420	0
chr1	196710420	196828843	0
chr1	196828843	196843835	0
chr1	196843835	202094062	0
chr1	202094062	212830606	0
chr1	212830606	212996044	0
chr1	212996044	213068227	0
chr1	213068227	213308598	0
chr1	213308598	214528793	0
chr1	214528793	216440418	0
chr1	216440418	216590341	0
chr1	216590341	217375352	0
chr1	217375352	217754871	0
chr1	217754871	218463217	0
chr1	218463217	218796127	0
chr1	218796127	218964374	0
chr1	218964374	222112298	0
chr1	222112298	222229268	0
chr1	222229268	223437186	0
chr1	223437186	223556434	0
chr1	223556434	223877121	0
chr1	223877121	224197457	0
chr1	224197457	229888393	0
chr1	229888393	232948623	0
chr1	232948623	240407323	0
chr1	240407323	244870678	0
chr1	244870678	244948353	0
chr1	244948353	245285976	0
chr1	245285976	245673603	0
chr1	245673603	248693003	0
chr1	248693003	249250621	0
chr2	0	179414	0
chr2	179414	1359742	0
chr2	1359742	3765713	0
chr2	3765713	3817344	0
chr2	3817344	4209776	0
chr2	4209776	4232416	0
chr2	4232416	5999092	0
chr2	5999092	6120288	0
chr2	6120288	6420338	0
chr2	6420338	10204588	0
chr2	10204588	10484183	0
chr2	10484183	14702922	0
chr2	14702922	18548422	0
chr2	18548422	19465488	0
chr2	19465488	19658315	0
chr2	19658315	20455690	0
chr2	20455690	22900435	0
chr2	22900435	23102421	0
chr2	23102421	23738366	0
chr2	23738366	26916131	0
chr2	26916131	28216809	0
chr2	28216809	31026712	0
chr2	31026712	34829442	0
chr2	34829442	35972005	0
chr2	35972005	35992716	0
chr2	35992716	41809180	0
chr2	41809180	45820839	0
chr2	45820839	45907574	0
chr2	45907574	46365262	0
chr2	46365262	50894160	0
chr2	50894160	52322062	0
chr2	52322062	52517024	0
chr2	52517024	52739077	0
chr2	52739077	52747747	0
chr2	52747747	52784752	0
chr2	52784752	54067275	0
chr2	54067275	60472351	0
chr2	60472351	61238050	0
chr2	61238050	68950312	0
chr2	68950312	72501505	0
chr2	72501505	72787595	0
chr2	72787595	72988592	0
chr2	72988592	73066939	0
chr2	73066939	73271837	0
chr2	73271837	76294587	0
chr2	76294587	77088778	0
chr2	77088778	87102511	0
chr2	87102511	87411127	0
chr2	87411127	90301276	0
chr2	90301276	91704724	0
chr2	91704724	91794849	0
chr2	91794849	92193296	0
chr2	92193296	92285930	0
chr2	92285930	93300000	0
chr2	93300000	95421697	0
chr2	95421697	95439958	0
chr2	95439958	95769081	0
chr2	95769081	96656411	0
chr2	96656411	98155769	2
chr2	98155769	98524556	2
chr2	98524556	98675483	0
chr2	98675483	98879626	2
chr2	98879626	102015143	0
chr2	102015143	102042703	0
chr2	102042703	103679380	0
chr2	103679380	104028502	0
chr2	104028502	104262587	0
chr2	104262587	105372855	0
chr2	105372855	106880404	0
chr2	106880404	106886312	13
chr2	106886312	111939433	0
chr2	111939433	114832299	0
chr2	114832299	114967447	0
chr2	114967447	117347511	0
chr2	117347511	119342525	0
chr2	119342525	119398482	7
chr2	119398482	120578024	0
chr2	120578024	125578189	0
chr2	125578189	127019032	0
chr2	127019032	129283345	6
chr2	129283345	137168717	12
chr2	137168717	137341931	17
chr2	137341931	140013762	12
chr2	140013762	140111475	17
chr2	140111475	141489699	12
chr2	141489699	141733216	17
chr2	141733216	141760656	12
chr2	141760656	146879621	7
chr2	146879621	155599629	0
chr2	155599629	160682629	0
chr2	160682629	160875381	0
chr2	160875381	161228931	0
chr2	161228931	161749289	0
chr2	161749289	168566245	0
chr2	168566245	168826452	0
chr2	168826452	170983995	0
chr2	170983995	172012171	0
chr2	172012171	172438416	0
