Chromosome Region	Start	End	gain
chr1	0	16755866	95
chr1	16755866	30590363	94
chr1	30590363	33111678	94
chr1	33111678	36359723	97
chr1	36359723	54794374	97
chr1	54794374	59105706	95
chr1	59105706	67926509	96
chr1	67926509	86636982	85
chr1	86636982	111031650	88
chr1	111031650	116132551	93
chr1	116132551	121185034	93
chr1	121185034	121230790	15
chr1	121230790	125000000	15
chr1	125000000	152588544	32
chr1	152588544	174128788	96
chr1	174128788	176153843	94
chr1	176153843	185337537	94
chr1	185337537	214664242	94
chr1	214664242	249250621	97
chr2	0	61752602	97
chr2	61752602	80280695	97
chr2	80280695	90301276	97
chr2	90301276	93300000	41
chr2	93300000	101162043	72
chr2	101162043	125694378	99
chr2	125694378	127019032	98
chr2	127019032	142071552	97
chr2	142071552	146879621	97
chr2	146879621	178455531	98
chr2	178455531	181212537	99
chr2	181212537	196179851	96
chr2	196179851	215716194	96
chr2	215716194	243199373	94
chr3	0	44275301	99
chr3	44275301	44728822	97
chr3	44728822	52385602	96
chr3	52385602	60775421	88
chr3	60775421	70928733	88
chr3	70928733	83733553	96
chr3	83733553	91000000	99
chr3	91000000	93605126	5
chr3	93605126	98008026	98
chr3	98008026	117147307	90
chr3	117147307	117234124	89
chr3	117234124	129752150	98
chr3	129752150	129916897	98
chr3	129916897	131688193	97
chr3	131688193	132012661	98
chr3	132012661	136056100	99
chr3	136056100	139573424	99
chr3	139573424	143743576	98
chr3	143743576	157711332	99
chr3	157711332	159275522	91
chr3	159275522	159279362	99
chr3	159279362	167558531	99
chr3	167558531	175686148	99
chr3	175686148	175772816	97
chr3	175772816	181120894	97
chr3	181120894	198022430	97
chr4	0	79219	15
chr4	79219	242373	25
chr4	242373	2912101	78
chr4	2912101	4244957	74
chr4	4244957	46194939	74
chr4	46194939	50400000	74
chr4	50400000	52762136	2
chr4	52762136	64294475	70
chr4	64294475	77991161	70
chr4	77991161	115183202	65
chr4	115183202	128297336	65
chr4	128297336	143029656	65
chr4	143029656	156968769	73
chr4	156968769	157246996	68
chr4	157246996	191154276	59
chr5	0	48400000	95
chr5	48400000	49980324	46
chr5	49980324	87831307	46
chr5	87831307	87993799	58
