,chromosome,Range,S_value,P_value,f_value,m,w_value,(s-p)^2
0,chr21,"(0, 7254335)",0.0,0,0.01,0.15908629385964912,0.0015908629385964913,0.0
1,chr21,"(7254335, 11657849)",-1.0,0,1.01,0.0965682894736842,0.09753397236842105,1.0
2,chr21,"(11657849, 12247447)",0.0,0,0.01,0.012929780701754386,0.00012929780701754386,0.0
3,chr21,"(12247447, 24975039)",-1.0,0,1.01,0.27911385964912283,0.28190499824561405,1.0
4,chr21,"(24975039, 24987712)",1.0,0,1.01,0.00027791666666666665,0.00028069583333333335,1.0
5,chr21,"(24987712, 40181981)",-1.0,0,1.01,0.3332076535087719,0.3365397300438596,1.0
6,chr21,"(40181981, 40191217)",0.0,0,0.01,0.00020254385964912282,2.0254385964912282e-06,0.0
7,chr21,"(40191217, 40904015)",-1.0,0,1.01,0.0156315350877193,0.01578785043859649,1.0
8,chr21,"(40904015, 45600000)",0.0,0,0.01,0.10298212719298246,0.0010298212719298246,0.0
9,chr21,"(45600000, 146364022)",0.0,0,0.01,0.999999990075823,0.00999999990075823,0.0
